,idno,formid,form_model,title,nation,year_start,year_end,repositoryid,repo_title,created,changed,varcount,total_views,authoring_entity,total_downloads,rank,type,id,url,link_da,Unnamed: 0,Category
10,UNHCR_AFG_2022_volrep_anon_data_v2.1,3,licensed,Voluntary Repatriation 2022,Afghanistan,2022,2022,ASIA,Asia Pacific,2023-03-27T08:19:38+02:00,2023-03-27T08:19:38+02:00,13,0,UNHCR,0,1,survey,878,https://microdata.unhcr.org/index.php/catalog/878,,,
11,UNHCR_ZAF_2022_RMS_v2.1,3,licensed,Results Monitoring Survey - 2022,South Africa,2022,2022,SAO,Southern Africa,2022-10-26T10:42:22+02:00,2022-10-26T10:42:22+02:00,214,1753,UNHCR,45,1,survey,781,https://microdata.unhcr.org/index.php/catalog/781,,,
12,UNHCR_CAF_2022_PROTECTION_MONITORING_v2.1,3,licensed,Protection Incidents Monitoring - Individual - Q1 & Q2 2022,Central African Republic,2022,2022,WA,West and Central Africa,2022-09-29T09:44:09+02:00,2022-09-29T09:44:09+02:00,37,570,UNHCR,211,1,survey,731,https://microdata.unhcr.org/index.php/catalog/731,,,
13,UNHCR_CAF_Q3_2022_PROTECTION_MONITORING_v2.1,3,licensed,Protection Incidents Monitoring - Individual - Q3 2022,Central African Republic,2022,2022,WA,West and Central Africa,2022-12-19T14:48:30+01:00,2022-12-19T14:48:30+01:00,52,247,UNHCR,8,1,survey,819,https://microdata.unhcr.org/index.php/catalog/819,,,
14,UNHCR_CAF_Transfer_Intention_PM_2022_v2.1,3,licensed,Refugees Transfer Intention - 2022,Central African Republic,2022,2022,WA,West and Central Africa,2023-01-05T23:47:55+01:00,2023-01-05T23:47:55+01:00,22,124,UNHCR,13,1,survey,820,https://microdata.unhcr.org/index.php/catalog/820,,,
15,UNHCR_CAF_Q4_2022_PROTECTION_MONITORING_v2.1,3,licensed,Protection Incidents Monitoring - Individual - Q4 2022,Central African Republic,2022,2022,WA,West and Central Africa,2023-01-05T15:18:26+01:00,2023-01-05T15:18:26+01:00,52,63,UNHCR,11,1,survey,833,https://microdata.unhcr.org/index.php/catalog/833,,,
16,UNHCR_BGD_2022_BCNA_anon_data_v2.1,3,licensed,Results Monitoring Survey (Bhasan Char Needs Assessment) - 2022,Bangladesh,2022,2022,ASIA,Asia Pacific,2023-03-23T06:29:42+01:00,2023-03-23T08:11:10+01:00,173,1,UNHCR,0,1,survey,876,https://microdata.unhcr.org/index.php/catalog/876,,,
17,UNHCR_BLR_2022_05_09_protmon_v2.1,3,licensed,Protection Profiling and Monitoring - May-Dec 2022,Belarus,2022,2022,EURO,Europe,2023-02-06T14:10:31+01:00,2023-02-06T14:10:31+01:00,106,259,UNHCR,4,1,survey,839,https://microdata.unhcr.org/index.php/catalog/839,,,
18,UNHCR_BGR_2022_MSNA_v2.1,3,licensed,Multi Sector Needs Assessment and Winter Needs - 2022/2023,Bulgaria,2022,2023,EURO,Europe,2023-03-15T13:52:17+01:00,2023-03-15T13:52:17+01:00,572,1,"UNHCR, Global Metrics Ltd",0,1,survey,856,https://microdata.unhcr.org/index.php/catalog/856,,,
19,UNHCR_TCD_JAN_2022_CBI_v2.1,3,licensed,Cash-based Intervention - Post Distribution Monitoring - JAN 2022,Chad,2022,2022,WA,West and Central Africa,2023-04-04T15:26:04+02:00,2023-04-05T08:29:06+02:00,222,11,UNHCR,0,1,survey,902,https://microdata.unhcr.org/index.php/catalog/902,,,
20,UNHCR_TCD_NDJAMENA_DEC_2022_WASH_v2.1,3,licensed,"Water, Sanitation and Hygiene (WASH) KAP NDJAMENA DEC 2022",Chad,2022,2022,WA,West and Central Africa,2023-04-04T14:36:03+02:00,2023-04-05T08:19:33+02:00,110,6,UNHCR,0,1,survey,900,https://microdata.unhcr.org/index.php/catalog/900,,,
21,UNHCR_TCD_NDJAMENA_MAY_2022_WASH_v2.1,3,licensed,"Water, Sanitation and Hygiene (WASH) KAP NDJAMENA MAY 2022",Chad,2022,2022,WA,West and Central Africa,2023-04-04T14:23:25+02:00,2023-04-05T08:18:59+02:00,110,3,UNHCR,0,1,survey,899,https://microdata.unhcr.org/index.php/catalog/899,,,
22,UNHCR_RBA_2022_AH_v2.1,3,licensed,"Survey on Abandoned Houses of Refugees and Migrants from Venezuela, 2022","Colombia, Ecuador, Peru",2022,2022,SA,Americas,2022-12-16T03:33:39+01:00,2023-01-17T01:37:50+01:00,211,37986,R4V Regional Protection Sector,35,1,survey,808,https://microdata.unhcr.org/index.php/catalog/808,,,
23,UNHCR_COL_2022_HFS_Q1_v2.1,3,licensed,High Frequency Survey - Q1 2022,Colombia,2022,2022,SA,Americas,2022-04-02T23:25:06+02:00,2022-04-02T23:25:06+02:00,357,3753,UNHCR,0,1,survey,656,https://microdata.unhcr.org/index.php/catalog/656,,278.0,High Frequency Survey
24,UNHCR_CRI_2022_HFS_Q1_v2.1,3,licensed,High Frequency Survey - Q1 2022,Costa Rica,2022,2022,SA,Americas,2022-04-02T23:22:19+02:00,2022-04-02T23:22:19+02:00,357,3892,UNHCR,0,1,survey,655,https://microdata.unhcr.org/index.php/catalog/655,,278.0,High Frequency Survey
25,UNHCR_GTM_2022_HFS_Q1_v2.1,3,licensed,High Frequency Survey - Q1 2022,Guatemala,2022,2022,SA,Americas,2022-04-02T23:34:37+02:00,2022-04-02T23:34:37+02:00,357,3829,UNHCR,0,1,survey,657,https://microdata.unhcr.org/index.php/catalog/657,,278.0,High Frequency Survey
26,UNHCR_HUN_2022_MSNA_v2.1,3,licensed,Multi-Sector Needs Assessment - 2022,Hungary,2022,2022,EURO,Europe,2022-11-29T13:28:05+01:00,2022-11-29T13:28:05+01:00,483,2280,"UNHCR, IOM",103,1,survey,797,https://microdata.unhcr.org/index.php/catalog/797,,,
27,UNHCR_HUN_2022_05_09_protmon_v2.1,3,licensed,Protection Profiling and Monitoring - May-Dec 2022,Hungary,2022,2022,EURO,Europe,2023-02-06T13:30:37+01:00,2023-02-06T13:34:46+01:00,106,381,UNHCR,35,1,survey,838,https://microdata.unhcr.org/index.php/catalog/838,,,
28,UNHCR_JOR_2022_PDM_MPC_v2.1,3,licensed,Post Distribution Monitoring: Multi Purpose Cash Assistance Mid-Year 2022,Jordan,2022,2022,MENA,Middle East and North Africa,2022-12-13T04:59:42+01:00,2023-01-05T15:38:26+01:00,352,1078,UNHCR,11,1,survey,802,https://microdata.unhcr.org/index.php/catalog/802,,,
29,UNHCR_JOR_2022_SES_v2.1,3,licensed,"Quarterly assessment of the socio-economic situation of refugees, Q1-Q4 2022",Jordan,2022,2022,MENA,Middle East and North Africa,2023-03-23T21:13:01+01:00,2023-03-23T21:13:01+01:00,327,66,UNHCR,0,1,survey,847,https://microdata.unhcr.org/index.php/catalog/847,,,
30,UNHCR_MDA_2022_05_09_protmon_v2.1,3,licensed,Protection Profiling and Monitoring - May-Dec 2022,Moldova (the Republic of),2022,2022,EURO,Europe,2023-02-06T13:52:15+01:00,2023-02-06T13:52:15+01:00,106,790,UNHCR,9,1,survey,780,https://microdata.unhcr.org/index.php/catalog/780,,,
31,UNHCR_PAK_2022_haus_anon_data_v2.1,3,licensed,Health Access and Utilization Survey 2022,Pakistan,2022,2022,ASIA,Asia Pacific,2022-12-16T09:39:11+01:00,2022-12-16T09:39:11+01:00,397,2712,UNHCR,64,1,survey,810,https://microdata.unhcr.org/index.php/catalog/810,,,
32,UNHCR_PAK_2022_CBI_v2.1,3,licensed,Post-Distribution Monitoring of Cash-Based Interventions - 2022,Pakistan,2022,2022,ASIA,Asia Pacific,2022-09-15T11:18:26+02:00,2022-09-15T11:18:26+02:00,196,2132,UNHCR,48,1,survey,734,https://microdata.unhcr.org/index.php/catalog/734,,,
33,UNHCR_PER_2022_HFS_Q1_v2.1,3,licensed,High Frequency Survey - Q1 2022,Peru,2022,2022,SA,Americas,2022-04-02T23:37:48+02:00,2022-04-02T23:37:48+02:00,357,4538,UNHCR,0,1,survey,658,https://microdata.unhcr.org/index.php/catalog/658,,278.0,High Frequency Survey
34,UNHCR_PER_2022_FM_PUNO_v2.1,3,licensed,"Flow Monitoring Tacna and Puno, Q2 2022",Peru,2022,2022,SA,Americas,2023-01-05T18:07:13+01:00,2023-01-05T18:14:16+01:00,227,1169,UNHCR,0,1,survey,717,https://microdata.unhcr.org/index.php/catalog/717,,,
35,UNHCR_PER_2022_FM_CUSCO_v2.1,3,licensed,"Flow Monitoring Cusco and Madre de Dios, Q2 2022",Peru,2022,2022,SA,Americas,2022-09-13T04:39:05+02:00,2023-01-05T04:51:37+01:00,255,959,UNHCR,0,1,survey,719,https://microdata.unhcr.org/index.php/catalog/719,,,
36,UNHCR_PER_2022_FM_TUMBES_EXITS_Q2Q3_v2.1,3,licensed,"Flow Monitoring Tumbes (Exits), Q2-Q3 2022",Peru,2022,2022,SA,Americas,2023-01-05T23:24:56+01:00,2023-01-05T23:24:56+01:00,173,699,UNHCR,0,1,survey,836,https://microdata.unhcr.org/index.php/catalog/836,,,
37,INEI_PER_2022_ENPOVE_v1.1,1,direct,Survey Directed to the Venezuelan Population Residing in the Country - 2022,Peru,2022,2022,EXT,External datasets,2022-09-08T01:21:10+02:00,2022-09-08T01:22:47+02:00,0,541,Instituto Nacional de Estadística e Informática,66,1,survey,714,https://microdata.unhcr.org/index.php/catalog/714,,,
38,UNHCR_PER_2022_FM_TUMBES_EXITS_v2.1,3,licensed,"Flow Monitoring Tumbes (Exits), Q2 2022",Peru,2022,2022,SA,Americas,2022-09-13T06:34:04+02:00,2023-01-05T04:51:33+01:00,163,492,UNHCR,0,1,survey,722,https://microdata.unhcr.org/index.php/catalog/722,,,
39,UNHCR_PER_2022_FM_PUNO_Q2Q3_v2.1,3,licensed,"Flow Monitoring Tacna and Puno, Q2-Q3 2022",Peru,2022,2022,SA,Americas,2023-01-05T22:30:13+01:00,2023-01-05T22:30:13+01:00,226,378,"UNHCR, Plan International",0,1,survey,834,https://microdata.unhcr.org/index.php/catalog/834,,,
40,UNHCR_PER_2022_FM_CUSCO_Q2Q3_v2.1,3,licensed,"Flow Monitoring Cusco and Madre de Dios, Q2-Q3 2022",Peru,2022,2022,SA,Americas,2023-01-05T22:21:08+01:00,2023-01-05T22:21:08+01:00,257,351,UNHCR,0,1,survey,827,https://microdata.unhcr.org/index.php/catalog/827,,,
41,UNHCR_PER_2022_FM_TUMBES_ENTRIES_Q2Q3_v2.1,3,licensed,"Flow Monitoring Tumbes (Entries), Q2-Q3 2022",Peru,2022,2022,SA,Americas,2023-01-05T23:10:13+01:00,2023-01-05T23:10:13+01:00,202,322,UNHCR,0,1,survey,835,https://microdata.unhcr.org/index.php/catalog/835,,,
42,UNHCR_PER_2022_FM_TACNA_INTER_v2.1,3,licensed,"Interagency Flow Monitoring Tacna, 2022",Peru,2022,2022,SA,Americas,2023-01-10T00:32:48+01:00,2023-01-10T00:32:48+01:00,106,236,"UNHCR, IOM, Plan International",0,1,survey,837,https://microdata.unhcr.org/index.php/catalog/837,,,
43,UNHCR_POL_2022_MSNA_v2.1,3,licensed,Multi-Sector Needs Assessment - 2022,Poland,2022,2022,EURO,Europe,2023-01-04T11:30:47+01:00,2023-01-04T11:30:47+01:00,907,3181,"UNHCR, REACH",38,1,survey,826,https://microdata.unhcr.org/index.php/catalog/826,,,
44,UNHCR_POL_2022_05_09_protmon_v2.1,3,licensed,Protection Profiling and Monitoring - May-Dec 2022,Poland,2022,2022,EURO,Europe,2023-02-06T14:02:39+01:00,2023-03-02T16:05:17+01:00,106,1571,UNHCR,36,1,survey,786,https://microdata.unhcr.org/index.php/catalog/786,,,
45,UNHCR_ROU_2022_05_09_protmon_v2.1,3,licensed,Protection Profiling and Monitoring - May-Dec 2022,Romania,2022,2022,EURO,Europe,2023-02-06T14:15:57+01:00,2023-02-27T00:13:32+01:00,106,585,UNHCR,11,1,survey,799,https://microdata.unhcr.org/index.php/catalog/799,,,
46,UNHCR_SVK_2022_MSNA_v2.1,3,licensed,Multi-Sector Needs Assessment - 2022,Slovakia,2022,2022,EURO,Europe,2022-10-18T10:57:16+02:00,2022-10-18T10:57:16+02:00,398,2380,"REACH, UNHCR, People in Need",30,1,survey,778,https://microdata.unhcr.org/index.php/catalog/778,,,
47,UNHCR_SVK_2022_05_09_protmon_v2.1,3,licensed,Protection Profiling and Monitoring - May-Dec 2022,Slovakia,2022,2022,EURO,Europe,2023-02-06T14:22:49+01:00,2023-02-06T14:22:49+01:00,106,282,UNHCR,8,1,survey,840,https://microdata.unhcr.org/index.php/catalog/840,,,
48,UNHCR_SDN_2022_MSNA_v2.1,3,licensed,Multi-Sector Needs Assessment - 2022,Sudan,2022,2022,EHA,East and Horn of Africa,2023-03-09T11:53:33+01:00,2023-04-04T13:54:16+02:00,492,0,UNHCR,0,1,survey,844,https://microdata.unhcr.org/index.php/catalog/844,,,
49,UNHCR_THA_2022_NFI_anon_data_v2.1,3,licensed,"Post-Distribution Monitoring of Non-Food Items, 2022",Thailand,2022,2022,ASIA,Asia Pacific,2023-03-23T08:46:06+01:00,2023-03-24T11:32:32+01:00,104,0,UNHCR,0,1,survey,877,https://microdata.unhcr.org/index.php/catalog/877,,,
50,UNHCR_UGA_2022_IPE_HHVisits_v2.1,3,licensed,"Socioeconomic assessment of refugees through Individual Profiling Exercise - Home Visits, 2022",Uganda,2022,2022,EHA,East and Horn of Africa,2022-07-19T11:37:39+02:00,2022-07-19T11:37:39+02:00,448,3386,UNHCR,74,1,survey,707,https://microdata.unhcr.org/index.php/catalog/707,,,
51,UNHCR_TCD_DEC_2021_CBI_v2.1,3,licensed,Cash-based Intervention - Post-distribution Monitoring - DEC 2022,Chad,2021,2021,WA,West and Central Africa,2023-04-04T15:23:07+02:00,2023-04-05T08:28:23+02:00,222,7,UNHCR,0,1,survey,901,https://microdata.unhcr.org/index.php/catalog/901,,,
52,UNHCR_TCD_GOZ_BEIDA_2022_WASH_v2.1,3,licensed,"Water, Sanitation and Hygiene (WASH) KAP - GOZ BEIDA 2022",Chad,2021,2021,WA,West and Central Africa,2023-04-04T11:11:54+02:00,2023-04-05T08:27:23+02:00,134,2,UNHCR,0,1,survey,892,https://microdata.unhcr.org/index.php/catalog/892,,,
53,UNHCR_JOR_2022_VAF_CAMP_v2.1,3,licensed,"Vulnerability Assessment Framework Population Survey for Refugees Living in Camps, 2022",Jordan,2021,2021,MENA,Middle East and North Africa,2022-09-24T02:33:42+02:00,2022-09-24T02:33:42+02:00,1348,4550,"UNHCR, MINDSET",77,1,survey,739,https://microdata.unhcr.org/index.php/catalog/739,,,
54,UNHCR_JOR_2022_VAF_HOST_v2.1,3,licensed,"Vulnerability Assessment Framework Population Survey for Refugees in Host Communities, 2022",Jordan,2021,2021,MENA,Middle East and North Africa,2022-11-18T00:36:51+01:00,2022-11-18T00:36:51+01:00,1267,3060,"UNHCR, Samuel Hall",69,1,survey,793,https://microdata.unhcr.org/index.php/catalog/793,,,
55,UNHCR_PER_2022_FM_TUMBES_ENTRIES_v2.1,3,licensed,"Flow Monitoring Tumbes (Entries), Q2 2022",Peru,2021,2022,SA,Americas,2022-09-24T04:22:01+02:00,2023-01-05T04:51:25+01:00,200,866,UNHCR,0,1,survey,721,https://microdata.unhcr.org/index.php/catalog/721,,,
56,UNHCR_JOR_2022_PDM_WINTER_v2.1,3,licensed,"Post Distribution Monitoring: Winter Preparedness, 2021–2022",Jordan,2022,2022,MENA,Middle East and North Africa,2023-03-13T05:43:40+01:00,2023-03-14T00:21:17+01:00,223,2,UNHCR,0,1,survey,848,https://microdata.unhcr.org/index.php/catalog/848,,,
57,UNHCR_AFG_2021_PARR_December_KII_v2.1,3,licensed,"Evaluation of Community-Based Protection and Solutions Programme in Priority Areas of Return and Re-integration in Afghanistan, Key Informants Interview - December 2021",Afghanistan,2021,2021,ASIA,Asia Pacific,2022-07-04T17:32:44+02:00,2022-07-04T17:32:44+02:00,566,4187,"UNHCR, IMPACT",220,1,survey,703,https://microdata.unhcr.org/index.php/catalog/703,,315.0,Community-Based Protection and Solutions Programme in Priority Areas of Return and Re-integration
58,UNHCR_AFG_2021_PARR_March_KII_v2.1,3,licensed,"Evaluation of Community-Based Protection and Solutions Programme in Priority Areas of Return and Re-integration in Afghanistan, Key Informants Interviews - March 2021",Afghanistan,2021,2021,ASIA,Asia Pacific,2022-05-31T10:57:59+02:00,2022-05-31T10:57:59+02:00,326,2926,"UNHCR, IMPACT",86,1,survey,673,https://microdata.unhcr.org/index.php/catalog/673,,289.0,Community-Based Protection and Solutions Programme in Priority Areas of Return and Re-integration
59,UNHCR_AFG_2021_PARR_March_HH_v2.1,3,licensed,"Evaluation of Community-Based Protection and Solutions Programme in Priority Areas of Return and Re-integration in Afghanistan, Household Survey - March 2021",Afghanistan,2021,2021,ASIA,Asia Pacific,2022-06-08T15:03:18+02:00,2022-06-08T15:03:18+02:00,262,2830,"UNHCR, IMPACT",85,1,survey,675,https://microdata.unhcr.org/index.php/catalog/675,,290.0,Community-Based Protection and Solutions Programme in Priority Areas of Return and Re-integration
60,UNHCR_AFG_2021_22_PDM_v2.1,3,licensed,Post-Distribution Monitoring of Cash-Based Interventions - 2021-22,Afghanistan,2021,2022,ASIA,Asia Pacific,2022-09-19T13:46:04+02:00,2022-09-19T13:46:04+02:00,216,2809,UNHCR,0,1,survey,773,https://microdata.unhcr.org/index.php/catalog/773,,,
61,UNHCR_AFG_2021_PARR_December_HH_v2.1,3,licensed,"Evaluation of Community-Based Protection and Solutions Programme in Priority Areas of Return and Re-integration in Afghanistan, Household Survey - December 2021",Afghanistan,2021,2021,ASIA,Asia Pacific,2022-06-14T15:33:03+02:00,2022-06-14T15:33:03+02:00,472,2580,"UNHCR, IMPACT",151,1,survey,678,https://microdata.unhcr.org/index.php/catalog/678,,293.0,Community-Based Protection and Solutions Programme in Priority Areas of Return and Re-integration
62,UNHCR_AFG_2021_MSRNA_v2.1,3,licensed,Multi-Sectorial Rapid Assessments - 2021,Afghanistan,2021,2021,ASIA,Asia Pacific,2022-08-26T15:08:11+02:00,2022-08-26T15:08:11+02:00,183,2373,UNHCR,71,1,survey,712,https://microdata.unhcr.org/index.php/catalog/712,,,
63,UNHCR_AFG_2021_volrep_anon_data_v2.1,3,licensed,Voluntary Repatriation 2021,Afghanistan,2021,2021,ASIA,Asia Pacific,2022-09-26T11:15:29+02:00,2022-09-26T11:15:29+02:00,11,696,UNHCR,0,1,survey,776,https://microdata.unhcr.org/index.php/catalog/776,,,
64,UNHCR_AFG_2021_pm_anon_data_v2.1,3,licensed,Protection Monitoring 2021,Afghanistan,2021,2021,ASIA,Asia Pacific,2023-03-27T11:13:28+02:00,2023-03-27T11:13:28+02:00,432,0,UNHCR,0,1,survey,879,https://microdata.unhcr.org/index.php/catalog/879,,,
65,UNHCR_ZAF_2021_LIS_data_v1.1,2,public,"Livelihoods Programme Monitoring Beneficiary Survey, 2021",South Africa,2021,2021,SAO,Southern Africa,2022-09-18T02:28:47+02:00,2022-09-18T02:28:47+02:00,106,627,UNHCR,21,1,survey,763,https://microdata.unhcr.org/index.php/catalog/763,,,
66,UNHCR_CAF_2021_IDP_Intent_Bambari_v2.1,3,licensed,Intention survey of IDPs in Bambari - 2021,Central African Republic,2021,2021,WA,West and Central Africa,2022-03-30T18:51:52+02:00,2022-03-30T18:51:52+02:00,133,1656,UNHCR,119,1,survey,644,https://microdata.unhcr.org/index.php/catalog/644,,276.0,Intention survey of IDPs
67,UNHCR_CAF_2021_CBI_PDM_Metadata,3,licensed,Obo Refugee Camps Post-Distribution Monitoring of Cash-Based Interventions - Jan 2021,Central African Republic,2021,2021,WA,West and Central Africa,2021-09-02T18:27:02+02:00,2021-10-04T22:17:53+02:00,82,1435,UNHCR,87,1,survey,480,https://microdata.unhcr.org/index.php/catalog/480,,191.0,Post-Distribution Monitoring of Cash-Based Interventions
68,UNHCR_CAF_2021_PROTECTION_MONITORING_v2.1,3,licensed,Protection Incidents Monitoring - Individual - 2021,Central African Republic,2021,2021,WA,West and Central Africa,2022-09-29T09:45:38+02:00,2022-09-29T09:45:38+02:00,37,540,UNHCR,20,1,survey,730,https://microdata.unhcr.org/index.php/catalog/730,,,
69,UNHCR_AGO_2021_LIS_data_v1.1,2,public,"Livelihoods Programme Monitoring Beneficiary Survey, 2021",Angola,2021,2021,SAO,Southern Africa,2022-09-18T02:13:41+02:00,2022-09-18T02:13:41+02:00,106,566,UNHCR,25,1,survey,742,https://microdata.unhcr.org/index.php/catalog/742,,,
70,UNHCR_SYR_2021_PA_S_v2.1,3,licensed,"Participatory Assessment for Refugees, 2021",Syrian Arab Republic,2021,2022,MENA,Middle East and North Africa,2022-06-18T22:58:57+02:00,2022-06-18T22:58:57+02:00,1175,3150,UNHCR,2,1,survey,692,https://microdata.unhcr.org/index.php/catalog/692,,306.0,Participatory Assessment
71,UNHCR_SYR_2021_PA_R_v2.1,3,licensed,"Participatory Assessment for Syrians, 2021",Syrian Arab Republic,2021,2021,MENA,Middle East and North Africa,2022-06-18T22:40:41+02:00,2022-06-18T22:40:41+02:00,342,2078,UNHCR,0,1,survey,691,https://microdata.unhcr.org/index.php/catalog/691,,305.0,Participatory Assessment
72,UNHCR_SYR_2021_PDM_MPCG_JUNE_v2.1,3,licensed,"Post-Distribution Monitoring of Cash-Based Interventions (Multi-Purpose Cash Grant), June 2021",Syrian Arab Republic,2021,2021,MENA,Middle East and North Africa,2022-06-18T18:40:49+02:00,2022-06-18T18:40:49+02:00,162,1184,UNHCR,0,1,survey,686,https://microdata.unhcr.org/index.php/catalog/686,,300.0,Post-Distribution Monitoring of Cash-Based Interventions (Multi-Purpose Cash Grant)
73,UNHCR_SYR_2021_PDM_WINTER_FEBRUARY_v2.1,3,licensed,"Post-Distribution Monitoring of Cash-Based Interventions (winterization), February 2021",Syrian Arab Republic,2021,2021,MENA,Middle East and North Africa,2022-06-18T18:50:21+02:00,2022-06-18T18:50:21+02:00,164,1101,UNHCR,0,1,survey,687,https://microdata.unhcr.org/index.php/catalog/687,,301.0,Post-Distribution Monitoring of Cash-Based Interventions (winterization)
74,UNHCR_SYR_2021_LIS_data_v1.1,2,public,"Livelihoods Programme Monitoring Beneficiary Survey, 2021",Syrian Arab Republic,2021,2021,MENA,Middle East and North Africa,2022-09-18T02:28:27+02:00,2022-09-18T02:28:27+02:00,106,751,UNHCR,19,1,survey,761,https://microdata.unhcr.org/index.php/catalog/761,,,
75,UNHCR_ARG_2021_HFS_Q1Q2_v2.1,3,licensed,High Frequency Survey - Q1Q2 2021,Argentina,2021,2021,SA,Americas,2021-10-11T13:07:32+02:00,2021-10-11T13:07:32+02:00,485,14009,UNHCR,0,1,survey,492,https://microdata.unhcr.org/index.php/catalog/492,,198.0,High Frequency Survey
76,UNHCR_ARG_2021_LIS_data_v1.1,2,public,"Livelihoods Programme Monitoring Beneficiary Survey, 2021",Argentina,2021,2021,SA,Americas,2022-09-18T02:30:35+02:00,2022-09-18T02:30:35+02:00,106,698,UNHCR,24,1,survey,765,https://microdata.unhcr.org/index.php/catalog/765,,,
77,UNHCR_RBAP_2021_ROH_IntentionSurvey_v2.1,3,licensed,Intention Survey of Rohingya Refugees from Myanmar: A Regional Perspective - 2021,"Bangladesh, India, Indonesia, Nepal, Thailand, Malaysia",2021,2021,ASIA,Asia Pacific,2022-05-30T17:36:54+02:00,2022-07-04T17:40:58+02:00,60,1688,UNHCR,113,1,survey,672,https://microdata.unhcr.org/index.php/catalog/672,,288.0,Intention survey of Rohingya Refugees
78,UNHCR_BGD_2021_LIS_data_v1.1,2,public,"Livelihoods Programme Monitoring Beneficiary Survey, 2021",Bangladesh,2021,2021,ASIA,Asia Pacific,2022-09-18T02:24:43+02:00,2022-09-18T02:24:43+02:00,106,1279,UNHCR,51,1,survey,744,https://microdata.unhcr.org/index.php/catalog/744,,,
79,UNHCR_BGD_2021_NFI_anon_data_v2.1,3,licensed,"Post-Distribution Monitoring of Non-Food Items, 2021",Bangladesh,2021,2021,ASIA,Asia Pacific,2023-03-23T04:55:12+01:00,2023-03-23T05:43:51+01:00,625,0,UNHCR,0,1,survey,874,https://microdata.unhcr.org/index.php/catalog/874,,,
